,id
355,ENSP340132
356,ENSP80059
357,ENSP425979
358,ENSP263181
359,ENSP411099
360,ENSP364490
361,ENSP280701
362,ENSP402038
363,ENSP268206
364,ENSP261303
365,ENSP258149
366,ENSP274255
367,ENSP262982
368,ENSP342181
369,ENSP263207
370,ENSP300574
371,ENSP313391
372,ENSP282728
373,ENSP454021
374,ENSP356505
375,ENSP377520
376,ENSP435565
377,ENSP361900
378,ENSP358674
379,ENSP274063
380,ENSP424417
381,ENSP261435
382,ENSP310572
383,ENSP297991
384,ENSP257549
385,ENSP396688
386,ENSP438507
387,ENSP361263
388,ENSP358723
389,ENSP362222
390,ENSP402861
391,ENSP294484
392,ENSP263208
393,ENSP405423
394,ENSP393379
395,ENSP335196
396,ENSP481006
397,ENSP343819
398,ENSP424838
399,ENSP381425
400,ENSP305995
401,ENSP342056
402,ENSP416293
403,ENSP389414
404,ENSP219150
405,ENSP480091
406,ENSP410818
407,ENSP363054
408,ENSP367893
409,ENSP347978
410,ENSP323046
411,ENSP360793
412,ENSP8527
413,ENSP380402
414,ENSP288774
415,ENSP424595
416,ENSP228347
417,ENSP430919
418,ENSP268122
419,ENSP282572
420,ENSP354612
421,ENSP378118
422,ENSP270142
423,ENSP366927
424,ENSP449079
425,ENSP258198
426,ENSP244769
427,ENSP378721
428,ENSP216442
429,ENSP374211
430,ENSP216024
431,ENSP341779
432,ENSP217026
433,ENSP355904
434,ENSP390475
435,ENSP412566
436,ENSP74304
437,ENSP469468
438,ENSP362618
439,ENSP431800
440,ENSP307491
441,ENSP264183
442,ENSP408617
443,ENSP346839
444,ENSP401645
445,ENSP312002
446,ENSP462309
447,ENSP259030
448,ENSP259206
449,ENSP228945
450,ENSP394071
451,ENSP256190
452,ENSP432586
453,ENSP282272
454,ENSP360108
455,ENSP272317
456,ENSP428579
457,ENSP323580
458,ENSP324292
459,ENSP378529
460,ENSP323421
461,ENSP263736
462,ENSP481850
463,ENSP339787
464,ENSP329374
465,ENSP360687
466,ENSP321334
467,ENSP256785
468,ENSP407182
469,ENSP344503
470,ENSP390011
471,ENSP317376
472,ENSP360626
473,ENSP377640
474,ENSP252242
475,ENSP330658
476,ENSP385706
477,ENSP384770
478,ENSP356967
479,ENSP222032
480,ENSP369317
481,ENSP384421
482,ENSP299767
483,ENSP416066
484,ENSP327251
485,ENSP357920
486,ENSP306625
487,ENSP281701
488,ENSP294053
489,ENSP245838
490,ENSP216297
491,ENSP364519
492,ENSP326119
493,ENSP356357
494,ENSP239243
495,ENSP438209
496,ENSP292779
497,ENSP415786
498,ENSP265104
499,ENSP341289
500,ENSP283025
501,ENSP293889
502,ENSP216271
503,ENSP412302
504,ENSP399982
505,ENSP302886
506,ENSP216479
507,ENSP391211
508,ENSP356379
509,ENSP454783
510,ENSP269349
511,ENSP444136
512,ENSP458986
513,ENSP312535
514,ENSP260508
515,ENSP358931
516,ENSP420487
517,ENSP281543
518,ENSP410059
519,ENSP357904
520,ENSP292180
521,ENSP362329
522,ENSP303584
523,ENSP343885
524,ENSP467024
525,ENSP261700
526,ENSP305702
527,ENSP404179
528,ENSP364320
529,ENSP362576
530,ENSP327589
531,ENSP307786
532,ENSP335304
533,ENSP441875
534,ENSP380514
535,ENSP372445
536,ENSP367346
537,ENSP354665
538,ENSP333837
539,ENSP359859
540,ENSP368793
541,ENSP230050
542,ENSP261973
543,ENSP298545
544,ENSP368927
545,ENSP222388
546,ENSP296776
547,ENSP413049
548,ENSP371348
549,ENSP356481
550,ENSP433205
551,ENSP364550
552,ENSP477841
553,ENSP304769
554,ENSP378402
555,ENSP469591
556,ENSP345024
557,ENSP232744
558,ENSP264601
559,ENSP310933
560,ENSP385780
561,ENSP237283
562,ENSP442464
563,ENSP399013
564,ENSP335156
565,ENSP247271
566,ENSP340989
567,ENSP324173
568,ENSP362924
569,ENSP209718
570,ENSP335567
571,ENSP310573
572,ENSP330746
573,ENSP338864
574,ENSP261837
575,ENSP262948
576,ENSP251810
577,ENSP426191
578,ENSP369857
579,ENSP434024
580,ENSP377833
581,ENSP329932
582,ENSP398632
583,ENSP443926
584,ENSP257177
585,ENSP311135
586,ENSP253363
587,ENSP346890
588,ENSP332979
589,ENSP309689
590,ENSP331327
591,ENSP261731
592,ENSP302548
593,ENSP295886
594,ENSP363804
595,ENSP242159
596,ENSP222462
597,ENSP326371
598,ENSP355966
599,ENSP324806
600,ENSP329219
601,ENSP450244
602,ENSP216832
603,ENSP326200
604,ENSP480893
605,ENSP356530
606,ENSP464976
607,ENSP372689
608,ENSP341094
609,ENSP385479
610,ENSP401470
611,ENSP378356
612,ENSP361824
613,ENSP358810
614,ENSP351664
615,ENSP360154
616,ENSP338967
617,ENSP297977
618,ENSP363661
619,ENSP378260
620,ENSP379836
621,ENSP253413
622,ENSP300146
623,ENSP251968
624,ENSP437271
625,ENSP379156
626,ENSP307940
627,ENSP360688
628,ENSP413073
629,ENSP310490
630,ENSP297578
631,ENSP223369
632,ENSP347168
633,ENSP448054
634,ENSP311665
635,ENSP298283
636,ENSP216190
637,ENSP220849
638,ENSP364398
639,ENSP475027
640,ENSP276241
641,ENSP366118
642,ENSP368207
643,ENSP473348
644,ENSP255390
645,ENSP398610
646,ENSP356030
647,ENSP379110
648,ENSP317891
649,ENSP243347
650,ENSP371790
651,ENSP341021
652,ENSP264499
653,ENSP267205
654,ENSP338671
655,ENSP304102
656,ENSP221399
657,ENSP385632
658,ENSP262958
659,ENSP292301
660,ENSP216797
661,ENSP358151
662,ENSP167586
663,ENSP310861
664,ENSP301061
665,ENSP351905
666,ENSP297990
667,ENSP353098
668,ENSP339109
669,ENSP392147
670,ENSP366672
671,ENSP306010
672,ENSP291295
673,ENSP265866
674,ENSP351646
675,ENSP351575
676,ENSP255087
677,ENSP403636
678,ENSP256953
679,ENSP419782
680,ENSP478874
681,ENSP478892
682,ENSP234371
683,ENSP363553
684,ENSP380901
685,ENSP330523
686,ENSP215909
687,ENSP384081
688,ENSP352821
689,ENSP216122
690,ENSP253122
691,ENSP419422
692,ENSP406209
693,ENSP378914
694,ENSP263800
695,ENSP299138
696,ENSP237937
697,ENSP368835
698,ENSP346466
699,ENSP278919
700,ENSP217420
701,ENSP300179
702,ENSP257981
703,ENSP269346
704,ENSP449241
705,ENSP338330
706,ENSP311360
707,ENSP266970
708,ENSP375608
709,ENSP259989
710,ENSP331172
711,ENSP354652
712,ENSP354511
713,ENSP291700
714,ENSP360129
715,ENSP363339
716,ENSP311825
717,ENSP314036
718,ENSP337701
719,ENSP372191
720,ENSP245983
721,ENSP337128
722,ENSP295619
723,ENSP298527
724,ENSP344115
725,ENSP436607
726,ENSP305372
727,ENSP412237
728,ENSP480609
729,ENSP367013
730,ENSP320936
731,ENSP11653
732,ENSP318077
733,ENSP301012
734,ENSP332915
735,ENSP265140
736,ENSP301727
737,ENSP340648
738,ENSP254928
739,ENSP356687
740,ENSP305494
741,ENSP216330
742,ENSP300648
743,ENSP363745
744,ENSP309334
745,ENSP367721
746,ENSP234420
747,ENSP331791
748,ENSP337452
749,ENSP356857
750,ENSP306772
751,ENSP296591
752,ENSP239938
753,ENSP259951
754,ENSP420525
755,ENSP266556
756,ENSP299663
757,ENSP177694
758,ENSP370989
759,ENSP290271
760,ENSP434552
761,ENSP337691
762,ENSP480763
763,ENSP310649
764,ENSP287713
765,ENSP305426
766,ENSP311505
767,ENSP261383
768,ENSP349679
769,ENSP261601
770,ENSP478927
771,ENSP362186
772,ENSP229239
773,ENSP322804
774,ENSP275493
775,ENSP234396
776,ENSP378400
777,ENSP217133
778,ENSP306362
779,ENSP429374
780,ENSP476119
781,ENSP300291
782,ENSP227507
783,ENSP349430
784,ENSP254846
785,ENSP329757
786,ENSP233627
787,ENSP359305
788,ENSP367453
789,ENSP384881
790,ENSP470801
791,ENSP251157
792,ENSP325326
793,ENSP222968
794,ENSP362935
795,ENSP482613
796,ENSP361066
797,ENSP376611
798,ENSP291442
799,ENSP278937
800,ENSP475686
801,ENSP310275
802,ENSP437621
803,ENSP324842
804,ENSP253382
805,ENSP262644
806,ENSP392678
