,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1681,22.584291982650758,0.9105276433346969,0.00800185203552246,0.00154941964084963,0.9,3,0.2,10,300,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 300}",0.7186236750803705,0.7638659543467703,0.7942668207498715,0.8163559924790321,0.7787653571970272,0.7743755599706142,0.03285122149283034,1612
1315,21.2475905418396,1.6111701578696247,0.012202739715576172,0.00040018582294333176,0.9,2,0.01,7,300,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300}",0.7375128402670776,0.7545727724065847,0.7684465041305661,0.8305447653769088,0.7804371387283238,0.7743028041818922,0.03155268644153286,1613
1056,4.653448867797851,0.19224288268205816,0.007801580429077149,0.0007485958472154684,0.9,0,0.3,5,100,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100}",0.7232397232397232,0.7748989400642964,0.7800783256291731,0.8276803118908381,0.76535719702715,0.7742508995702362,0.03337759430344493,1614
1680,8.031610488891602,0.4365188408274676,0.0070015907287597655,1.784161275279017e-07,0.9,3,0.2,10,100,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 100}",0.7186236750803705,0.766428461094445,0.7960021644332687,0.8163559924790321,0.773783718689788,0.7742388023553809,0.03286868584660969,1615
1724,42.337946605682376,3.891386969264396,0.007001018524169922,6.503191803448608e-07,0.9,3,0.3,20,500,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.3, 'max_depth': 20, 'n_estimators': 500}",0.7256580832033612,0.7704152981884145,0.788795518207283,0.7974625540567633,0.7886747347975498,0.7742012376906744,0.0258237687678518,1616
1723,23.998410844802855,1.2414658458612617,0.008601760864257813,0.003721150251083883,0.9,3,0.3,20,300,"{'colsample_bytree': 0.9, 'gamma': 3, 'learning_rate': 0.3, 'max_depth': 20, 'n_estimators': 300}",0.7256580832033612,0.7704152981884145,0.788795518207283,0.7974625540567633,0.7886747347975498,0.7742012376906744,0.0258237687678518,1616
1417,13.874127912521363,0.09764177560144235,0.007601642608642578,0.0004899987222241536,0.9,2,0.15,5,300,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 300}",0.7513213677245533,0.7613217811807375,0.7613217811807375,0.8061403508771929,0.790566153093666,0.7741342868113774,0.02070335356813695,1618
778,112.10927758216857,1.3430500016440794,0.01360325813293457,0.004080154357545152,0.8,3,0.15,7,2000,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 2000}",0.7529192546583852,0.7592416445127355,0.7729840780688239,0.8101211444282155,0.7753027081985395,0.7741137659733399,0.019847460231414125,1619
866,11.477987718582153,1.0182717434378425,0.010602378845214843,0.004717250927719743,0.9,0,0.01,2,500,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}",0.7446070878274267,0.7690096681473739,0.7736152776761542,0.8295562411010916,0.7533695370275773,0.7740315623559247,0.029668507397838457,1620
1418,23.055597877502443,0.23998782236520005,0.008001899719238282,1.1680077279964342e-07,0.9,2,0.15,5,500,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 500}",0.7513213677245533,0.7567103772057633,0.7613217811807375,0.8100420299672939,0.790566153093666,0.7739923418344027,0.022571901603230575,1621
1421,138.6154541015625,2.7719746112553767,0.011202526092529298,0.00039997103672454983,0.9,2,0.15,5,3000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 3000}",0.7537957156953241,0.7567103772057633,0.7613217811807375,0.8126023391812864,0.7854694372819657,0.7739799301090154,0.022313977506888686,1622
678,10.808036661148071,1.2313236210083105,0.009602165222167969,0.0008000016616583731,0.8,3,0.01,20,100,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 100}",0.7399476123312514,0.757108995021448,0.7638659543467703,0.839580732266775,0.7688629911848199,0.7738732570302129,0.03427742995541428,1623
1419,46.106795692443846,0.5759085208434732,0.008201789855957032,0.0003998518096733217,0.9,2,0.15,5,1000,"{'colsample_bytree': 0.9, 'gamma': 2, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 1000}",0.7537957156953241,0.7567103772057633,0.7613217811807375,0.8061403508771929,0.790566153093666,0.7737068756105367,0.020856132749642868,1624
637,18.743025875091554,0.6423266704611226,0.0072018146514892575,0.00039999497450525176,0.8,2,0.3,10,300,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 300}",0.7509157509157509,0.7562870088461631,0.7628156565656565,0.8113905325443787,0.7863571149080473,0.7735532127559993,0.022456510272314427,1625
463,27.312558317184447,1.6270818747548639,0.014803218841552734,0.0007487870989890689,0.8,2,0.01,20,300,"{'colsample_bytree': 0.8, 'gamma': 2, 'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 300}",0.735094574832786,0.7520548279310261,0.7710215314877773,0.8357990428530845,0.773783718689788,0.7735507391588924,0.034124047995226545,1626
